project_id,project_type,project_location,total_area_sqft,num_floors,construction_type,foundation_type,material_quality_index,labor_cost_index,material_cost_index,inflation_rate,equipment_cost,contractor_experience_years,avg_temperature,rainfall_index,weather_delay_days,complexity_score,risk_index,resource_utilization_rate,total_project_cost,cost_category
1000,Industrial,Semi-Urban,14165,6,RCC,Raft,0.758,1.637,1.792,3.04,196727,7,18.98,0.117,44,0.698,0.551,0.968,28187146,High
1001,Residential,Urban,7129,6,Steel,Pile,0.835,1.732,1.596,6.97,159987,13,34.21,0.629,37,0.923,0.573,0.702,17947414,Medium
1002,Industrial,Semi-Urban,14328,1,RCC,Raft,0.534,1.276,1.634,4.63,62774,21,29.17,0.316,39,0.946,0.121,0.697,16887886,Medium
1003,Industrial,Urban,5041,13,Steel,Pile,0.527,1.888,1.582,3.9,118754,6,34.06,0.33,18,0.871,0.822,0.983,12162672,Medium
1004,Residential,Semi-Urban,8376,6,Steel,Strip,0.793,1.455,2.224,4.92,117223,6,37.97,0.58,5,0.403,0.482,0.865,12418802,Medium
1005,Residential,Urban,13811,14,RCC,Pile,0.944,1.617,1.341,5.99,139330,14,23.38,0.712,50,0.579,0.566,0.759,26211806,High
1006,Industrial,Semi-Urban,15088,4,Steel,Raft,0.764,0.914,1.587,6.02,87179,3,29.27,0.011,40,0.547,0.451,0.859,25166016,High
1007,Commercial,Urban,17148,4,Hybrid,Pile,0.939,1.558,1.141,5.2,170594,11,34.69,0.153,46,0.551,0.596,0.698,47106350,High
1008,Industrial,Semi-Urban,12880,14,Steel,Raft,0.905,1.855,1.228,5.97,48357,13,39.67,0.903,16,0.24,0.149,0.879,25839920,High
1009,Industrial,Rural,10377,2,Hybrid,Pile,0.538,1.014,1.923,5.56,67146,3,30.31,0.495,22,0.339,0.446,0.605,14109457,Medium
1010,Industrial,Semi-Urban,18318,13,Hybrid,Strip,0.601,1.685,0.999,7.94,104180,12,33.03,0.492,39,0.323,0.702,0.975,25269361,High
1011,Industrial,Urban,5597,11,Steel,Raft,0.829,0.83,1.119,3.18,29538,23,36.16,0.84,8,0.694,0.945,0.73,10385138,Low
1012,Residential,Rural,18544,14,Hybrid,Raft,0.722,1.911,1.698,8.21,106221,22,33.78,0.129,36,0.529,0.864,0.546,32556447,High
1013,Industrial,Semi-Urban,19238,4,Hybrid,Pile,0.645,1.98,0.874,4.46,170795,21,38.56,0.714,37,0.46,0.967,0.923,38499874,High
1014,Commercial,Rural,6961,5,Steel,Pile,0.709,1.225,1.016,7.33,129480,27,20.74,0.506,20,0.555,0.803,0.947,9390730,Low
1015,Residential,Semi-Urban,7544,13,RCC,Pile,0.723,0.928,2.268,5.43,7274,22,37.69,0.742,57,0.459,0.669,0.865,9793533,Low
1016,Commercial,Rural,5997,12,RCC,Pile,0.955,1.59,2.238,4.77,12735,22,20.18,0.679,20,0.806,0.481,0.815,14939120,Medium
1017,Commercial,Urban,14251,5,Hybrid,Pile,0.552,0.836,1.391,6.69,6739,20,29.13,0.666,26,0.334,0.211,0.964,16573644,Medium
1018,Commercial,Semi-Urban,9804,5,Hybrid,Raft,0.64,1.379,1.392,7.61,92586,28,28.07,0.856,10,0.245,0.326,0.811,13165199,Medium
1019,Commercial,Semi-Urban,10926,4,RCC,Strip,0.769,1.126,2.392,5.7,85849,27,35.78,0.551,38,0.721,0.344,0.896,16454921,Medium
1020,Residential,Urban,11558,1,Hybrid,Pile,0.849,1.368,0.844,5.8,149621,5,24.96,0.408,29,0.384,0.485,0.736,19236007,Medium
1021,Residential,Rural,11760,14,RCC,Raft,0.815,0.822,1.787,3.35,83948,13,18.58,0.198,27,0.715,0.649,0.864,12362838,Medium
1022,Commercial,Urban,19063,10,Steel,Strip,0.971,0.862,1.816,8.54,167582,23,32.67,0.344,19,0.247,0.657,0.999,37082004,High
1023,Commercial,Urban,1134,8,Hybrid,Strip,0.898,0.819,2.139,8.08,100968,27,30.17,0.87,46,0.398,0.51,0.691,2669976,Low
1024,Residential,Rural,10557,3,Steel,Pile,0.779,1.543,2.418,5.39,72066,11,35.68,0.337,44,0.323,0.347,0.86,18661158,Medium
1025,Residential,Urban,13845,2,RCC,Raft,0.607,1.472,1.405,7.59,136627,17,33.97,0.985,46,0.433,0.151,0.574,13825986,Medium
1026,Residential,Semi-Urban,10647,9,RCC,Raft,0.725,1.08,1.544,4.88,31624,28,37.37,0.608,45,0.463,0.99,0.818,11526182,Medium
1027,Industrial,Semi-Urban,19102,7,Steel,Raft,0.847,1.576,1.941,7.38,156489,29,35.98,0.815,37,0.596,0.946,0.661,52954308,High
1028,Industrial,Semi-Urban,1889,9,Hybrid,Raft,0.919,1.861,2.444,6.1,76564,10,32.15,0.493,3,0.616,0.265,0.933,7163463,Low
1029,Industrial,Urban,13571,13,Steel,Raft,0.98,1.133,2.314,5.76,50978,12,26.64,0.655,17,0.704,0.645,0.68,47287432,High
1030,Commercial,Semi-Urban,11822,2,Steel,Strip,0.803,1.798,1.934,3.34,116215,6,15.51,0.99,49,0.465,0.366,0.723,24445110,High
1031,Industrial,Semi-Urban,4776,9,Hybrid,Strip,0.763,1.595,2.256,8.79,168570,5,22.69,0.5,59,0.626,0.275,0.99,12336069,Medium
1032,Commercial,Semi-Urban,12806,10,RCC,Strip,0.509,0.841,0.945,8.02,187244,22,33.19,0.263,28,0.992,0.716,0.608,8752553,Low
1033,Commercial,Semi-Urban,1749,9,Steel,Raft,0.536,1.25,1.441,7.76,135913,1,16.49,0.65,35,0.369,0.808,0.782,2284441,Low
1034,Industrial,Semi-Urban,18129,11,Steel,Strip,0.578,1.409,0.822,4.83,45453,20,33.91,0.92,26,0.322,0.466,0.932,16928234,Medium
1035,Commercial,Semi-Urban,8745,9,RCC,Strip,0.527,1.678,1.102,4.74,11023,24,27.91,0.017,52,0.874,0.153,0.657,7808050,Low
1036,Industrial,Urban,11602,10,Steel,Pile,0.7,1.145,1.872,6.44,94364,20,36.69,0.993,0,0.528,0.461,0.508,25834186,High
1037,Industrial,Semi-Urban,16726,13,RCC,Strip,0.668,1.979,2.305,8.08,106990,15,31.5,0.545,34,0.878,0.579,0.948,34892517,High
1038,Residential,Semi-Urban,11088,10,Hybrid,Pile,0.819,1.621,1.876,8.61,56092,16,34.96,0.799,4,0.54,0.904,0.81,26234233,High
1039,Industrial,Rural,942,4,RCC,Raft,0.768,1.247,1.929,4.61,189620,29,19.29,0.118,55,0.217,0.691,0.615,1835907,Low
1040,Residential,Urban,7476,10,RCC,Raft,0.798,0.916,0.976,6.64,198605,10,19.32,0.292,51,0.5,0.739,0.638,8384299,Low
1041,Industrial,Urban,5175,3,Steel,Raft,0.736,1.018,1.93,7.34,143088,24,20.28,0.977,5,0.688,0.282,0.9,11016293,Low
1042,Industrial,Urban,12303,6,RCC,Raft,0.639,1.385,1.572,4.36,106803,27,23.33,0.288,59,0.558,0.748,0.821,19412376,Medium
1043,Residential,Urban,8453,3,RCC,Strip,0.976,1.394,1.907,5.44,63554,8,37.61,0.412,35,0.567,0.552,0.866,15451686,Medium
1044,Residential,Semi-Urban,4877,11,Steel,Pile,0.543,1.721,1.354,4.12,58405,2,34.36,0.281,4,0.999,0.838,0.789,7002273,Low
1045,Industrial,Semi-Urban,11099,9,RCC,Raft,0.969,1.671,1.789,7.19,145618,22,24.12,0.468,43,0.635,0.295,0.895,26852687,High
1046,Commercial,Rural,7558,3,Steel,Raft,0.656,1.042,1.521,8.18,43793,7,37.96,0.159,31,0.758,0.563,0.911,10108793,Low
1047,Residential,Rural,17706,2,Hybrid,Pile,0.756,1.514,1.75,8.27,45344,23,34.47,0.509,38,0.777,0.289,0.693,31730269,High
1048,Commercial,Urban,12394,8,RCC,Pile,0.554,0.825,1.05,7.02,77143,1,31.4,0.298,44,0.2,0.357,0.95,10794455,Low
1049,Commercial,Rural,3439,6,Hybrid,Pile,0.535,1.278,1.473,5.08,162778,20,25.91,0.815,30,0.642,0.849,0.753,4899785,Low
1050,Commercial,Rural,1531,8,RCC,Pile,0.715,1.717,1.436,6.97,176593,23,31.29,0.39,39,0.97,0.719,0.58,2982107,Low
